Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 1


SUMMARY  Delta T  Size     Destination   Source        Summary
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 3


SUMMARY  Delta T  Size     Destination   Source        Summary

    99    0.0056   128  blue         superfly      NCP C F=4218 Write 64 at 1920
   100    0.0005    60  superfly     blue          NCP R OK
   101    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 1984
   102    0.0006    60  superfly     blue          NCP R OK
   103    0.0061   128  blue         superfly      NCP C F=4218 Write 64 at 2048
   104    0.0006    60  superfly     blue          NCP R OK
   105    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 2112
   106    0.0006    60  superfly     blue          NCP R OK
   107    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 2176
   108    0.0005    60  superfly     blue          NCP R OK
   109    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 2240
   110    0.0005    60  superfly     blue          NCP R OK
   111    0.0055   128  blue         superfly      NCP C F=4218 Write 64 at 2304
   112    0.0006    60  superfly     blue          NCP R OK
   113    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 2368
   114    0.0005    60  superfly     blue          NCP R OK
   115    0.0056   128  blue         superfly      NCP C F=4218 Write 64 at 2432
   116    0.0006    60  superfly     blue          NCP R OK
   117    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 2496
   118    0.0005    60  superfly     blue          NCP R OK
   119    0.0060   128  blue         superfly      NCP C F=4218 Write 64 at 2560
   120    0.0006    60  superfly     blue          NCP R OK
   121    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 2624
   122    0.0006    60  superfly     blue          NCP R OK
   123    0.0055   128  blue         superfly      NCP C F=4218 Write 64 at 2688
   124    0.0005    60  superfly     blue          NCP R OK
   125    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 2752
   126    0.0005    60  superfly     blue          NCP R OK
   127    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 2816
   128    0.0006    60  superfly     blue          NCP R OK
   129    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 2880
   130    0.0006    60  superfly     blue          NCP R OK
   131    0.0056   128  blue         superfly      NCP C F=4218 Write 64 at 2944
   132    0.0005    60  superfly     blue          NCP R OK
   133    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 3008
   134    0.0006    60  superfly     blue          NCP R OK
   135    0.0219   128  blue         superfly      NCP C F=4218 Write 64 at 3072
   136    0.0006    60  superfly     blue          NCP R OK
   137    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 3136
   138    0.0006    60  superfly     blue          NCP R OK
   139    0.0055   128  blue         superfly      NCP C F=4218 Write 64 at 3200
   140    0.0006    60  superfly     blue          NCP R OK
