Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 1


SUMMARY  Delta T  Size     Destination   Source        Summary
   430    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
   431    0.0015    64  blue         superfly      NCP C F=D21A Read 1024 at 530432
   432    0.0017  1078  superfly     blue          NCP R OK 1024 bytes read
   433    0.0013    64  blue         superfly      NCP C F=D21A Read 776 at 531456
   434    0.0014   830  superfly     blue          NCP R OK 776 bytes read
   435    0.0084    64  blue         superfly      NCP C F=D21A Read 848 at 387248
   436    0.0017   902  superfly     blue          NCP R OK 848 bytes read
   437    0.0012    64  blue         superfly      NCP C F=D21A Read 1024 at 388096
   438    0.0017  1078  superfly     blue          NCP R OK 1024 bytes read
   439    0.0013    64  blue         superfly      NCP C F=D21A Read 1024 at 389120
   440    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
   441    0.0013    64  blue         superfly      NCP C F=D21A Read 421 at 390144
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 10


SUMMARY  Delta T  Size     Destination   Source        Summary

   442    0.0010   476  superfly     blue          NCP R OK 421 bytes read
   443    0.0096   128  blue         superfly      NCP C F=4218 Write 64 at 12416
   444    0.0006    60  superfly     blue          NCP R OK
   445    0.0026    64  blue         superfly      NCP C F=D21A Read 672 at 385376
   446    0.0015   726  superfly     blue          NCP R OK 672 bytes read
   447    0.0012    64  blue         superfly      NCP C F=D21A Read 855 at 386048
   448    0.0014   910  superfly     blue          NCP R OK 855 bytes read
   449    0.1039    64  blue         superfly      NCP C F=D21A Read 224 at 365344
   450    0.0009   278  superfly     blue          NCP R OK 224 bytes read
   451    0.0009    64  blue         superfly      NCP C F=D21A Read 1024 at 365568
   452    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
   453    0.0013    64  blue         superfly      NCP C F=D21A Read 1024 at 366592
   454    0.0017  1078  superfly     blue          NCP R OK 1024 bytes read
   455    0.0013    64  blue         superfly      NCP C F=D21A Read 1024 at 367616
   456    0.0017  1078  superfly     blue          NCP R OK 1024 bytes read
   457    0.0013    64  blue         superfly      NCP C F=D21A Read 1024 at 368640
   458    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
   459    0.0013    64  blue         superfly      NCP C F=D21A Read 1024 at 369664
   460    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
   461    0.0013    64  blue         superfly      NCP C F=D21A Read 379 at 370688
   462    0.0009   434  superfly     blue          NCP R OK 379 bytes read
   463    0.0293    64  blue         superfly      NCP C F=D21A Read 64 at 382912
   464    0.0006   118  superfly     blue          NCP R OK 64 bytes read
   465    0.0007    64  blue         superfly      NCP C F=D21A Read 1024 at 382976
   466    0.0017  1078  superfly     blue          NCP R OK 1024 bytes read
   467    0.0015    64  blue         superfly      NCP C F=D21A Read 1024 at 384000
   468    0.0017  1078  superfly     blue          NCP R OK 1024 bytes read
   469    0.0013    64  blue         superfly      NCP C F=D21A Read 341 at 385024
   470    0.0010   396  superfly     blue          NCP R OK 341 bytes read
   471    0.0069    64  blue         superfly      NCP C F=D21A Read 144 at 386928
   472    0.0007   198  superfly     blue          NCP R OK 144 bytes read
   473    0.0008    64  blue         superfly      NCP C F=D21A Read 158 at 387072
   474    0.0007   212  superfly     blue          NCP R OK 158 bytes read
   475    0.0331   128  blue         superfly      NCP C F=4218 Write 64 at 12480
   476    0.0006    60  superfly     blue          NCP R OK
   477    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 12544
   478    0.0005    60  superfly     blue          NCP R OK
   479    0.0478   128  blue         superfly      NCP C F=4218 Write 64 at 12608
   480    0.0006    60  superfly     blue          NCP R OK
   481    0.0040   128  blue         superfly      NCP C F=4218 Write 64 at 12672
   482    0.0005    60  superfly     blue          NCP R OK
   483    0.0561   128  blue         superfly      NCP C F=4218 Write 64 at 12736
   484    0.0005    60  superfly     blue          NCP R OK
   485    0.0040   128  blue         superfly      NCP C F=4218 Write 64 at 12800
   486    0.0005    60  superfly     blue          NCP R OK
   487    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 12864
   488    0.0006    60  superfly     blue          NCP R OK
   489    0.0248   128  blue         superfly      NCP C F=4218 Write 64 at 12928
   490    0.0005    60  superfly     blue          NCP R OK
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 11


SUMMARY  Delta T  Size     Destination   Source        Summary

   491    0.0358   128  blue         superfly      NCP C F=4218 Write 64 at 12992
   492    0.0005    60  superfly     blue          NCP R OK
   493    0.0273   128  blue         superfly      NCP C F=4218 Write 64 at 13056
   494    0.0005    60  superfly     blue          NCP R OK
   495    0.0252   128  blue         superfly      NCP C F=4218 Write 64 at 13120
   496    0.0006    60  superfly     blue          NCP R OK
   497    0.0275   128  blue         superfly      NCP C F=4218 Write 64 at 13184
   498    0.0006    60  superfly     blue          NCP R OK
   499    0.0344   128  blue         superfly      NCP C F=4218 Write 64 at 13248
   500    0.0006    60  superfly     blue          NCP R OK
   501    0.0513   128  blue         superfly      NCP C F=4218 Write 64 at 13312
   502    0.0006    60  superfly     blue          NCP R OK
   503    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 13376
   504    0.0005    60  superfly     blue          NCP R OK
   505    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 13440
   506    0.0006    60  superfly     blue          NCP R OK
   507    0.0243   128  blue         superfly      NCP C F=4218 Write 64 at 13504
   508    0.0006    60  superfly     blue          NCP R OK
   509    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 13568
   510    0.0006    60  superfly     blue          NCP R OK
   511    0.0843   128  blue         superfly      NCP C F=4218 Write 64 at 13632
   512    0.0006    60  superfly     blue          NCP R OK
   513    0.0539   128  blue         superfly      NCP C F=4218 Write 64 at 13696
   514    0.0006    60  superfly     blue          NCP R OK
   515    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 13760
   516    0.0005    60  superfly     blue          NCP R OK
   517    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 13824
   518    0.0006    60  superfly     blue          NCP R OK
   519    0.0040   128  blue         superfly      NCP C F=4218 Write 64 at 13888
   520    0.0006    60  superfly     blue          NCP R OK
   521    0.0415   128  blue         superfly      NCP C F=4218 Write 64 at 13952
   522    0.0006    60  superfly     blue          NCP R OK
   523    0.0040   128  blue         superfly      NCP C F=4218 Write 64 at 14016
   524    0.0006    60  superfly     blue          NCP R OK
   525    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 14080
   526    0.0005    60  superfly     blue          NCP R OK
   527    0.0196   128  blue         superfly      NCP C F=4218 Write 64 at 14144
   528    0.0006    60  superfly     blue          NCP R OK
   529    0.0031    64  blue         superfly      NCP C F=D21A Read 512 at 462336
   530    0.0011   566  superfly     blue          NCP R OK 512 bytes read
   531    0.0010    64  blue         superfly      NCP C F=D21A Read 1024 at 462848
   532    0.0017  1078  superfly     blue          NCP R OK 1024 bytes read
   533    0.0013    64  blue         superfly      NCP C F=D21A Read 371 at 463872
   534    0.0010   426  superfly     blue          NCP R OK 371 bytes read
   535    0.0115    88  blue         superfly      NCP C F=4218 Write 23 at 14208
   536    0.0006    60  superfly     blue          NCP R OK
   537    0.0006    60  blue         superfly      NCP C Start queue job 945
   538    0.0022    60  superfly     blue          NCP R OK
   539    1.4628    64  blue         superfly      NCP C F=D21A Read 160 at 284512
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 12


SUMMARY  Delta T  Size     Destination   Source        Summary

   540    0.0009   214  superfly     blue          NCP R OK 160 bytes read
   541    0.0008    64  blue         superfly      NCP C F=D21A Read 1024 at 284672
   542    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
   543    0.0013    64  blue         superfly      NCP C F=D21A Read 1024 at 285696
   544    0.0017  1078  superfly     blue          NCP R OK 1024 bytes read
   545    0.0013    64  blue         superfly      NCP C F=D21A Read 1024 at 286720
   546    0.1030  1078  superfly     blue          NCP R OK 1024 bytes read
   547    0.0013    64  blue         superfly      NCP C F=D21A Read 1024 at 287744
   548    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
   549    0.0013    64  blue         superfly      NCP C F=D21A Read 1024 at 288768
   550    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
   551    0.0015    64  blue         superfly      NCP C F=D21A Read 1024 at 289792
   552    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
   553    0.0013    64  blue         superfly      NCP C F=D21A Read 1024 at 290816
   554    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
   555    0.0013    64  blue         superfly      NCP C F=D21A Read 1024 at 291840
   556    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
   557    0.0013    64  blue         superfly      NCP C F=D21A Read 123 at 292864
   558    0.0007   178  superfly     blue          NCP R OK 123 bytes read
   559    0.1016    64  blue         superfly      NCP C F=D21A Read 816 at 233680
   560    0.0015   870  superfly     blue          NCP R OK 816 bytes read
   561    0.0012    64  blue         superfly      NCP C F=D21A Read 1024 at 234496
   562    0.0017  1078  superfly     blue          NCP R OK 1024 bytes read
   563    0.0013    64  blue         superfly      NCP C F=D21A Read 554 at 235520
   564    0.0012   608  superfly     blue          NCP R OK 554 bytes read
   565    0.5636    64  blue         superfly      NCP C F=D21A Read 448 at 236096
   566    0.0010   502  superfly     blue          NCP R OK 448 bytes read
   567    0.0010    64  blue         superfly      NCP C F=D21A Read 1024 at 236544
   568    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
   569    0.0013    64  blue         superfly      NCP C F=D21A Read 1024 at 237568
   570    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
   571    0.0014    64  blue         superfly      NCP C F=D21A Read 1024 at 238592
   572    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
   573    0.0013    64  blue         superfly      NCP C F=D21A Read 56 at 239616
   574    0.0006   110  superfly     blue          NCP R OK 56 bytes read
   575    0.0080    64  blue         superfly      NCP C F=D21A Read 224 at 537376
   576    0.0009   278  superfly     blue          NCP R OK 224 bytes read
   577    0.0009    64  blue         superfly      NCP C F=D21A Read 1024 at 537600
   578    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
   579    0.0014    64  blue         superfly      NCP C F=D21A Read 1024 at 538624
   580    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
   581    0.0014    64  blue         superfly      NCP C F=D21A Read 1024 at 539648
   582    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
   583    0.0015    64  blue         superfly      NCP C F=D21A Read 677 at 540672
   584    0.0013   732  superfly     blue          NCP R OK 677 bytes read
   585    0.0126    64  blue         superfly      NCP C F=D21A Read 976 at 357424
   586    0.0347  1030  superfly     blue          NCP R OK 976 bytes read
   587    0.0013    64  blue         superfly      NCP C F=D21A Read 1024 at 358400
   588    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 13


SUMMARY  Delta T  Size     Destination   Source        Summary

   589    0.0014    64  blue         superfly      NCP C F=D21A Read 1024 at 359424
   590    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
   591    0.0013    64  blue         superfly      NCP C F=D21A Read 1024 at 360448
   592    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
   593    0.0013    64  blue         superfly      NCP C F=D21A Read 514 at 361472
   594    0.0011   568  superfly     blue          NCP R OK 514 bytes read
   595    0.0036    60  blue         cacilj        NCP C Service queue 000200A7 job
   596    0.0057   106  cacilj       blue          NCP R OK
   597    0.0076    60  blue         cacilj        NCP C Read job 945
   598    0.0084   308  cacilj       blue          NCP R OK
   599    0.0428    60  blue         cacilj        NCP C Service queue 000000CF job
   600    0.0009   106  cacilj       blue          NCP R Bindery error
   601    0.0159    60  blue         cacilj        NCP C Map Trustee to user
   602    0.0045   106  cacilj       blue          NCP R OK Mapped: DOUG
   603    0.0121    60  blue         cacilj        NCP C Service queue 000400E5 job
   604    0.0009   106  cacilj       blue          NCP R Bindery error
   605    0.0120    64  blue         cacilj        NCP C F=4318 Read 1024 at 0
   606    0.0017  1078  cacilj       blue          NCP R OK 1024 bytes read
   607    0.0143    64  blue         cacilj        NCP C F=4318 Read 1024 at 1024
   608    0.0016  1078  cacilj       blue          NCP R OK 1024 bytes read
   609    0.0163    60  blue         cacilj        NCP C Service queue 00010015 job
   610    0.0013   106  cacilj       blue          NCP R Bindery error
   611    0.7685   110  Broadcast    blue          NCP R CACIBASE
   612    0.2775    64  blue         cacilj        NCP C F=4318 Read 1024 at 2048
   613    0.0017  1078  cacilj       blue          NCP R OK 1024 bytes read
   614    1.0634    64  blue         cacilj        NCP C F=4318 Read 1024 at 3072
   615    0.0016  1078  cacilj       blue          NCP R OK 1024 bytes read
   616    1.0634    64  blue         cacilj        NCP C F=4318 Read 1024 at 4096
   617    0.0016  1078  cacilj       blue          NCP R OK 1024 bytes read
   618    1.0636    64  blue         cacilj        NCP C F=4318 Read 1024 at 5120
   619    0.0017  1078  cacilj       blue          NCP R OK 1024 bytes read
   620    0.8606    60  blue         cacilj        NCP C Service queue 000000CF job
   621    0.0009   106  cacilj       blue          NCP R Bindery error
   622    0.0320    60  blue         cacilj        NCP C Service queue 000400E5 job
   623    0.0008   106  cacilj       blue          NCP R Bindery error
   624    0.0321    60  blue         cacilj        NCP C Service queue 00010015 job
   625    0.0008   106  cacilj       blue          NCP R Bindery error
   626    0.1357    64  blue         cacilj        NCP C F=4318 Read 1024 at 6144
   627    0.0017  1078  cacilj       blue          NCP R OK 1024 bytes read
   628    1.0633    64  blue         cacilj        NCP C F=4318 Read 1024 at 7168
   629    0.0016  1078  cacilj       blue          NCP R OK 1024 bytes read
   630    1.0634    64  blue         cacilj        NCP C F=4318 Read 1024 at 8192
   631    0.0016  1078  cacilj       blue          NCP R OK 1024 bytes read
   632    1.0636    64  blue         cacilj        NCP C F=4318 Read 1024 at 9216
   633    0.0016  1078  cacilj       blue          NCP R OK 1024 bytes read
   634    1.0633    64  blue         cacilj        NCP C F=4318 Read 1024 at 10240
   635    0.0016  1078  cacilj       blue          NCP R OK 1024 bytes read
   636    0.7197    60  blue         cacilj        NCP C Service queue 000000CF job
   637    0.0009   106  cacilj       blue          NCP R Bindery error
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 14


SUMMARY  Delta T  Size     Destination   Source        Summary

   638    0.0320    60  blue         cacilj        NCP C Service queue 000400E5 job
   639    0.0009   106  cacilj       blue          NCP R Bindery error
   640    0.0320    60  blue         cacilj        NCP C Service queue 00010015 job
   641    0.0009   106  cacilj       blue          NCP R Bindery error
   642    0.2767    64  blue         cacilj        NCP C F=4318 Read 1024 at 11264
   643    0.0017  1078  cacilj       blue          NCP R OK 1024 bytes read
   644    1.0633    64  blue         cacilj        NCP C F=4318 Read 1024 at 12288
   645    0.0019  1078  cacilj       blue          NCP R OK 1024 bytes read
   646    1.0631    64  blue         cacilj        NCP C F=4318 Read 1024 at 13312
   647    0.0015   974  cacilj       blue          NCP R OK 919 bytes read
   648    0.0106    64  blue         cacilj        NCP C F=4318 Read 1024 at 13312
   649    0.0015   974  cacilj       blue          NCP R OK 919 bytes read
   650    1.0524    64  blue         cacilj        NCP C F=4318 Read 1024 at 13312
   651    0.0015   974  cacilj       blue          NCP R OK 919 bytes read
   652    0.0098    60  blue         cacilj        NCP C F=4318 Close file
   653    0.0006    60  cacilj       blue          NCP R OK
   654    0.0075    64  blue         cacilj        NCP C Finish servicing job 945
   655    0.0095    60  cacilj       blue          NCP R OK
   656    0.0232    60  blue         cacilj        NCP C Service queue 000200A7 job
   657    0.0009   106  cacilj       blue          NCP R Bindery error
   658    1.5909    60  blue         cacilj        NCP C Service queue 000000CF job
   659    0.0009   106  cacilj       blue          NCP R Bindery error
   660    0.0321    60  blue         cacilj        NCP C Service queue 000400E5 job
   661    0.0008   106  cacilj       blue          NCP R Bindery error
   662    0.0321    60  blue         cacilj        NCP C Service queue 00010015 job
   663    0.0009   106  cacilj       blue          NCP R Bindery error
   664    3.5325    60  blue         cacilj        NCP C Service queue 000200A7 job
   665    0.0009   106  cacilj       blue          NCP R Bindery error
   666    1.5842    60  blue         cacilj        NCP C Service queue 000000CF job
   667    0.0008   106  cacilj       blue          NCP R Bindery error
   668    0.0321    60  blue         cacilj        NCP C Service queue 000400E5 job
   669    0.0009   106  cacilj       blue          NCP R Bindery error
   670    0.0321    60  blue         cacilj        NCP C Service queue 00010015 job
   671    0.0009   106  cacilj       blue          NCP R Bindery error
   672    3.5325    60  blue         cacilj        NCP C Service queue 000200A7 job
   673    0.0009   106  cacilj       blue          NCP R Bindery error
   674    1.5842    60  blue         cacilj        NCP C Service queue 000000CF job
   675    0.0009   106  cacilj       blue          NCP R Bindery error
   676    0.0320    60  blue         cacilj        NCP C Service queue 000400E5 job
   677    0.0009   106  cacilj       blue          NCP R Bindery error
   678    0.0321    60  blue         cacilj        NCP C Service queue 00010015 job
   679    0.0009   106  cacilj       blue          NCP R Bindery error
   680    3.5325    60  blue         cacilj        NCP C Service queue 000200A7 job
   681    0.0009   106  cacilj       blue          NCP R Bindery error
   682    1.5842    60  blue         cacilj        NCP C Service queue 000000CF job
   683    0.0009   106  cacilj       blue          NCP R Bindery error
   684    0.0321    60  blue         cacilj        NCP C Service queue 000400E5 job
   685    0.0008   106  cacilj       blue          NCP R Bindery error
   686    0.0321    60  blue         cacilj        NCP C Service queue 00010015 job
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 15


SUMMARY  Delta T  Size     Destination   Source        Summary

   687    0.0008   106  cacilj       blue          NCP R Bindery error
   688    3.5326    60  blue         cacilj        NCP C Service queue 000200A7 job
   689    0.0009   106  cacilj       blue          NCP R Bindery error
   690    1.2165    60  blue         cacilj        NCP C Get server's clock
   691    0.0004    60  cacilj       blue          NCP R OK
   692    0.3671    60  blue         cacilj        NCP C Service queue 000000CF job
   693    0.0009   106  cacilj       blue          NCP R Bindery error
   694    0.0320    60  blue         cacilj        NCP C Service queue 000400E5 job
   695    0.0008   106  cacilj       blue          NCP R Bindery error
   696    5.1508    60  blue         cacilj        NCP C Service queue 000000CF job
   697    0.0009   106  cacilj       blue          NCP R Bindery error
   698    1.6618    60  barfly       blue          XNS NetWare Request Keep alive C=3
   699    0.0004    60  blue         barfly        XNS NetWare Reply Keep alive C=3
   700    0.0545    60  dragonfly    blue          XNS NetWare Request Keep alive C=13
   701    0.0005    60  blue         dragonfly     XNS NetWare Reply Keep alive C=13
   702    2.2750    66  blue         cacilj        NCP C Map 03002237 to trustee
   703    0.0016   106  cacilj       blue          NCP R OK Mapped: 03002237
   704    0.0097    88  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/LANPRESS.USR
   705    0.0031    88  cacilj       blue          NCP R File not found
   706    1.1812    62  blue         cacilj        NCP C Search bindery for *
   707    0.0072   110  cacilj       blue          NCP R OK Found PRINTQ_0
   708    0.0078    60  blue         cacilj        NCP C Attach server to queue 00010015
   709    0.0036    60  cacilj       blue          NCP R OK
   710    0.0093    62  blue         cacilj        NCP C Search bindery for *
   711    0.0221   110  cacilj       blue          NCP R OK Found PRINTQ_1
   712    0.0080    60  blue         cacilj        NCP C Attach server to queue 000200A7
   713    0.0039    60  cacilj       blue          NCP R OK
   714    0.0091    62  blue         cacilj        NCP C Search bindery for *
   715    0.0093   110  cacilj       blue          NCP R OK Found PRINTQ_3
   716    0.0081    60  blue         cacilj        NCP C Attach server to queue 000000CF
   717    0.0034    60  cacilj       blue          NCP R OK
   718    0.0091    62  blue         cacilj        NCP C Search bindery for *
   719    0.0076   110  cacilj       blue          NCP R OK Found PRINTQ_2
   720    0.0081    60  blue         cacilj        NCP C Attach server to queue 000400E5
   721    0.0039    60  cacilj       blue          NCP R OK
   722    0.0091    62  blue         cacilj        NCP C Search bindery for *
   723    0.0015   110  cacilj       blue          NCP R No such object
   724    0.0075    66  blue         cacilj        NCP C Map 03002237 to trustee
   725    0.0015   106  cacilj       blue          NCP R OK Mapped: 03002237
   726    0.0098    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/PRINT.000
   727    0.0038    88  cacilj       blue          NCP R F=2D5D OK Opened
   728    0.0088    64  blue         cacilj        NCP C F=2D5D Read 70 at 0
   729    0.0008   124  cacilj       blue          NCP R OK 70 bytes read
   730    0.0090    60  blue         cacilj        NCP C F=2D5D Close file
   731    0.0008    60  cacilj       blue          NCP R OK
   732    0.0104    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/PRINT.001
   733    0.0030    88  cacilj       blue          NCP R File not found
   734    0.0104    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/PRINT.002
   735    0.0030    88  cacilj       blue          NCP R File not found
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 16


SUMMARY  Delta T  Size     Destination   Source        Summary

   736    0.0103    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/PRINT.003
   737    0.0037    88  cacilj       blue          NCP R F=66EC OK Opened
   738    0.0090    64  blue         cacilj        NCP C F=66EC Read 70 at 0
   739    0.0008   124  cacilj       blue          NCP R OK 70 bytes read
   740    0.0090    60  blue         cacilj        NCP C F=66EC Close file
   741    0.0008    60  cacilj       blue          NCP R OK
   742    0.0104    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/PRINT.004
   743    0.0038    88  cacilj       blue          NCP R F=67EC OK Opened
   744    0.0090    64  blue         cacilj        NCP C F=67EC Read 70 at 0
   745    0.0008   124  cacilj       blue          NCP R OK 70 bytes read
   746    0.0090    60  blue         cacilj        NCP C F=67EC Close file
   747    0.0008    60  cacilj       blue          NCP R OK
   748    0.0103    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/PRINT.005
   749    0.0037    88  cacilj       blue          NCP R F=60EC OK Opened
   750    0.0089    64  blue         cacilj        NCP C F=60EC Read 70 at 0
   751    0.0008   124  cacilj       blue          NCP R OK 70 bytes read
   752    0.0090    60  blue         cacilj        NCP C F=60EC Close file
   753    0.0008    60  cacilj       blue          NCP R OK
   754    0.0104    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/PRINT.006
   755    0.0030    88  cacilj       blue          NCP R File not found
   756    0.0105    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/PRINT.007
   757    0.0029    88  cacilj       blue          NCP R File not found
   758    0.0103    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/PRINT.008
   759    0.0029    88  cacilj       blue          NCP R File not found
   760    0.0105    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/PRINT.009
   761    0.0031    88  cacilj       blue          NCP R File not found
   762    0.0103    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/PRINT.010
   763    0.0030    88  cacilj       blue          NCP R File not found
   764    0.0103    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/PRINT.011
   765    0.0030    88  cacilj       blue          NCP R File not found
   766    0.0103    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/PRINT.012
   767    0.0031    88  cacilj       blue          NCP R File not found
   768    0.0103    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/PRINT.013
   769    0.0030    88  cacilj       blue          NCP R File not found
   770    0.0105    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/PRINT.014
   771    0.0030    88  cacilj       blue          NCP R File not found
   772    0.0103    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/PRINT.015
   773    0.0029    88  cacilj       blue          NCP R File not found
   774    0.0104    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/QUEUE.000
   775    0.0037    88  cacilj       blue          NCP R F=61EC OK Opened
   776    0.0088    64  blue         cacilj        NCP C F=61EC Read 49 at 0
   777    0.0008   104  cacilj       blue          NCP R OK 49 bytes read
   778    0.0094    60  blue         cacilj        NCP C F=61EC Close file
   779    0.0008    60  cacilj       blue          NCP R OK
   780    0.0104    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/NOTIFY.000
   781    0.0036    88  cacilj       blue          NCP R File not found
   782    0.0104    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/QUEUE.003
   783    0.0037    88  cacilj       blue          NCP R F=62EC OK Opened
   784    0.0088    64  blue         cacilj        NCP C F=62EC Read 49 at 0
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 17


SUMMARY  Delta T  Size     Destination   Source        Summary

   785    0.0008   104  cacilj       blue          NCP R OK 49 bytes read
   786    0.0096    60  blue         cacilj        NCP C F=62EC Close file
   787    0.0008    60  cacilj       blue          NCP R OK
   788    0.0103    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/NOTIFY.003
   789    0.0038    88  cacilj       blue          NCP R F=63EC OK Opened
   790    0.0088    64  blue         cacilj        NCP C F=63EC Read 108 at 0
   791    0.0009   162  cacilj       blue          NCP R OK 108 bytes read
   792    0.0130    60  blue         cacilj        NCP C F=63EC Close file
   793    0.0008    60  cacilj       blue          NCP R OK
   794    0.0104    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/QUEUE.004
   795    0.0038    88  cacilj       blue          NCP R F=6CEC OK Opened
   796    0.0088    64  blue         cacilj        NCP C F=6CEC Read 49 at 0
   797    0.0008   104  cacilj       blue          NCP R OK 49 bytes read
   798    0.0096    60  blue         cacilj        NCP C F=6CEC Close file
   799    0.0009    60  cacilj       blue          NCP R OK
   800    0.0105    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/NOTIFY.004
   801    0.0038    88  cacilj       blue          NCP R F=6DEC OK Opened
   802    0.0090    64  blue         cacilj        NCP C F=6DEC Read 108 at 0
   803    0.0009   162  cacilj       blue          NCP R OK 108 bytes read
   804    0.0095    60  blue         cacilj        NCP C F=6DEC Close file
   805    0.0008    60  cacilj       blue          NCP R OK
   806    0.0104    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/QUEUE.005
   807    0.0037    88  cacilj       blue          NCP R F=6EEC OK Opened
   808    0.0089    64  blue         cacilj        NCP C F=6EEC Read 49 at 0
   809    0.0007   104  cacilj       blue          NCP R OK 49 bytes read
   810    0.0095    60  blue         cacilj        NCP C F=6EEC Close file
   811    0.0008    60  cacilj       blue          NCP R OK
   812    0.0104    86  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/NOTIFY.005
   813    0.0037    88  cacilj       blue          NCP R F=6FEC OK Opened
   814    0.0090    64  blue         cacilj        NCP C F=6FEC Read 108 at 0
   815    0.0009   162  cacilj       blue          NCP R OK 108 bytes read
   816    0.0095    60  blue         cacilj        NCP C F=6FEC Close file
   817    0.0008    60  cacilj       blue          NCP R OK
   818    0.0092    66  blue         cacilj        NCP C Map 03002237 to trustee
   819    0.0016   106  cacilj       blue          NCP R OK Mapped: 03002237
   820    0.0098    84  blue         cacilj        NCP C Open file SYS:/SYSTEM/000000DB/FILESERV
   821    0.0038    88  cacilj       blue          NCP R F=68EC OK Opened
   822    0.0087    60  blue         cacilj        NCP C F=68EC Close file
   823    0.0008    60  cacilj       blue          NCP R OK
   824    0.0509    60  blue         cacilj        NCP C Service queue 000200A7 job
   825    0.0010   106  cacilj       blue          NCP R Bindery error
   826    0.0289    60  blue         cacilj        NCP C Service queue 000400E5 job
   827    0.0009   106  cacilj       blue          NCP R Bindery error
